text,label
"""Bao lời con chưa nói"" làm t phải khóc nghẹn thở luon",2
"Mong show tiếp có đầy đủ 31 anh traiiiiiiiii 31 nha chương trình ơi, thay trấn thành là tui giận",1
Ngáo ngơ hay mà tóp 4 hả,1
HIEUTHUHAI nói giọng Bắc hay nha,2
xui cho Gin và Thịnh quá à… nếu lọt đc vô vòng 2 thì chắc team 2 team đã thắng bonus rồi :(,0
"Cá nhân t thấy lời bài hát rõ ràng, dễ thấm, rất tươi trẻ nhen",2
"Thi sĩ khiến tôi replay nhiều nhất, da diết và chạm tới trái tim Love sand không được như kì vọng của tôi, khá nhạt nhòa nhưng giàn xếp sân khấu ấn tượng Catch me if you can nghe catchy từ câu đầu nhưng chưa đủ nhiệt lắm, vũ đạo có vẻ không hợp. Hít Drama không biết nói sao nữa, khá cháy, khá nhiệt nhưng nghe lời không ấn tượng. Nói chung thấy mấy bài trong tập 2 hay hơn ó :vv",1
"Nhờ atus mà song luân nổi lên ví tên anh sinh Nhờ tú tút mà isaac thêm bd mới là anh xái Lại nhờ tú tút mà hiếu thứ hai lại thêm bd mới đội trường trần Nhờ atus mà đã làm cho dương domic nói nhìu hơn chút , gần ví công chúng hơn",2
2:25:00 bé captain đa tài đỉnh vãi ò,2
Atus đi thi ở dưới hô Diệu Nhi 🤣🤣 couple ngạo nghễ đây rồi,2
"Atus nổ lực hết mình khi đây không phải là điều mình giỏi, rất ủng hộ tinh thần của anh. Mãi yêu Atus",2
có ng spoil trc kết quả rồi tưởng ngta bịp mà đúng hết thật 😢 vừa mừng vừa buồn vì đã biết trc kết quả,1
"OMG Erik quá đã ❤ vì đây vẫn là chương trình về idol, đa dạng về hát và nhảy, về trình diễn vv.. mọi thứ nên vẫn là ĐỈNH nha 🥰 mà 5 bgk tuy hơi khen nhiều nhưng vẫn có người chấm hay nha ☺️ Hùng Huỳnh mn khen nhiều chứ mình thấy cũng bt thui, phần thi ấy mình lại thích Đức Phúc nha 😅",2
Ngáo ngơ dễ thương quá trời😂 làm rất tốt chúc mừng team HT2,2
Nhạc team Rhy cá nhân tôi xem thấy ổn mà nhỉ🤔sao trc mn chê nhiều quá nhệ chắc tuỳ ng,1
Rhyder quá đỉnh team ơi,2
Rhy quá hayyyy 😚😚,2
"mình không biết sao mà trong trương chình ai dần mình cũng thấy tài năng với thích mà trừ ali, gin và vthinh mình không có aan tượng gì lun z😢",0
Atus hát rất hay ❤,2
Ko thích Wean cho lắm,0
Cho mấy anh trai di lưu diễn di ạ. Ngồi coi tren youtube kiểu này không đã mọi người ơi,1
"Bt là mn tiếc HH , tôi cx tiếc nhưng mn phải nhìn toàn diện là HH vẫn còn kém nhiều so với mn , vì thật sự HH còn chưa có nhiều kinh nghiệm như những người khác . Dù sao tích cực thì thấy đây cx là 1 bc đệm vững chắc , hoặc 1 cú nâng giúp HH được biết nhiều hơn trong tương lai .",1
các anh trai 10đ editor của chương trình -10000/10,0
Tự hào quá team Negav ơi ❤❤❤❤,2
Đội Rhyder hạng 1 t k nói. Nghĩ sao đội HTH với bài Ngáo Ngơ hạng 4 chời. Xàm hơn chữ xàm,0
không ngờ ngáo ngơ top 4,1
Cày vì lụy RhyCap ạ=)),2
Huhu chờ team rhyder mà ko hay,0
Có 1 sự buồn nhẹ ❤ TEAM TIỂU HỌC,1
"bài nhóm Negav mới giai điệu đầu nghe như thuỷ triều., đó là lời con trai của tui nói, bé mới 7t",2
"Tr oi mê bài hào quang quá, hay xĩu❤❤❤",2
Mong tập này dài 8 tiếng❤,2
Bài walk nghe kì kì .. kì này top 1 😂,1
bài của negav hay quá trời oi ❤️,2
"Thấy cũng tội lúc tú tút thi, vì chiến thuật hai bên cũng như nhau, nhma nếu điền số 0 thì đầu đến cuối nvay thì đội kia cũng khó thắng ấy. Nchung vẫn ủng hộ nhma thấy hơi cấn hoyy 😢",1
Quang hùng hay quá đi,2
Hội mê atus 😊,2
Ngáo ngơ vòng này ai cũng né . K ngờ đội HTH làm lại quá hay đi,2
Quay lại đây xem từ tập 1. Nói không luỵ là nói dối TT,0
Hùng Huỳnh lên top 6 là thấy vui trong lòng :),2
Tập này cười tập sau khóc 😢,1
